"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"1";"2025-01-06 07:47:59";"Push";"3180";"Running (Treadmill)";"1";"";"";"";"1272.0";"296.0";"";""
"1";"2025-01-06 07:47:59";"Push";"3180";"Bench Press (Barbell)";"2";"51.0";"8";"";"";"";"";""
"1";"2025-01-06 07:47:59";"Push";"3180";"Bench Press (Barbell)";"3";"79.5";"10";"";"";"";"";""
"1";"2025-01-06 07:47:59";"Push";"3180";"Bench Press (Barbell)";"4";"61.5";"8";"";"";"";"";""
"1";"2025-01-06 07:47:59";"Push";"3180";"Bench Press (Barbell)";"5";"62.0";"6";"";"";"";"";""
"1";"2025-01-06 07:47:59";"Push";"3180";"Bench Press (Barbell)";"6";"61.5";"6";"";"";"";"";""
"1";"2025-01-06 07:47:59";"Push";"3180";"Incline Chest Press (Machine)";"7";"56.5";"10";"";"";"";"";""
"1";"2025-01-06 07:47:59";"Push";"3180";"Incline Chest Press (Machine)";"8";"45.0";"10";"";"";"";"";""
"1";"2025-01-06 07:47:59";"Push";"3180";"Incline Chest Press (Machine)";"9";"55.0";"8";"";"";"";"";""
"1";"2025-01-06 07:47:59";"Push";"3180";"Incline Chest Press (Machine)";"10";"46.0";"9";"";"";"";"";""
"1";"2025-01-06 07:47:59";"Push";"3180";"Chest Fly";"11";"18.5";"15";"";"";"";"";""
"1";"2025-01-06 07:47:59";"Push";"3180";"Chest Fly";"12";"19.0";"13";"";"";"";"";""
"1";"2025-01-06 07:47:59";"Push";"3180";"Chest Fly";"13";"16.5";"13";"";"";"";"";""
"1";"2025-01-06 07:47:59";"Push";"3180";"Shoulder Press (Machine)";"14";"31.5";"11";"";"";"";"";""
"1";"2025-01-06 07:47:59";"Push";"3180";"Shoulder Press (Machine)";"15";"33.5";"10";"";"";"";"";""
"1";"2025-01-06 07:47:59";"Push";"3180";"Shoulder Press (Machine)";"16";"31.0";"11";"";"";"";"";""
"1";"2025-01-06 07:47:59";"Push";"3180";"Front Raise (Cable)";"17";"7.5";"15";"";"";"";"";""
"1";"2025-01-06 07:47:59";"Push";"3180";"Front Raise (Cable)";"18";"9.0";"15";"";"";"";"";""
"1";"2025-01-06 07:47:59";"Push";"3180";"Front Raise (Cable)";"19";"6.0";"11";"";"";"";"";""
"1";"2025-01-06 07:47:59";"Push";"3180";"Triceps Pushdown (Cable - Straight Bar)";"20";"34.0";"15";"";"";"";"";""
"1";"2025-01-06 07:47:59";"Push";"3180";"Triceps Pushdown (Cable - Straight Bar)";"21";"26.0";"12";"";"";"";"";""
"1";"2025-01-06 07:47:59";"Push";"3180";"Triceps Pushdown (Cable - Straight Bar)";"22";"40.0";"15";"";"";"";"";""
"1";"2025-01-06 07:47:59";"Push";"3180";"Triceps Pushdown (Cable - Straight Bar)";"23";"38.5";"12";"";"";"";"";""
"1";"2025-01-06 07:47:59";"Push";"3180";"Triceps Extension (Cable)";"24";"17.0";"14";"";"";"";"";""
"1";"2025-01-06 07:47:59";"Push";"3180";"Triceps Extension (Cable)";"25";"24.5";"10";"";"";"";"";""
"1";"2025-01-06 07:47:59";"Push";"3180";"Triceps Extension (Cable)";"26";"24.5";"10";"";"";"";"";""
"2";"2025-01-07 12:46:18";"Pull";"4500";"Running (Treadmill)";"1";"";"";"";"1182.0";"395.0";"";""
"2";"2025-01-07 12:46:18";"Pull";"4500";"Pull Up";"2";"0.0";"7";"";"";"";"";""
"2";"2025-01-07 12:46:18";"Pull";"4500";"Pull Up";"3";"0.0";"12";"";"";"";"";""
"2";"2025-01-07 12:46:18";"Pull";"4500";"Pull Up";"4";"0.0";"5";"";"";"";"";""
"2";"2025-01-07 12:46:18";"Pull";"4500";"Lat Pulldown (Cable)";"5";"50.5";"9";"";"";"";"";""
"2";"2025-01-07 12:46:18";"Pull";"4500";"Lat Pulldown (Cable)";"6";"35.5";"10";"";"";"";"";""
"2";"2025-01-07 12:46:18";"Pull";"4500";"Lat Pulldown (Cable)";"7";"56.0";"10";"";"";"";"";""
"2";"2025-01-07 12:46:18";"Pull";"4500";"Lat Pulldown (Cable)";"8";"44.5";"10";"";"";"";"";""
"2";"2025-01-07 12:46:18";"Pull";"4500";"Reverse Fly (Machine)";"9";"8.0";"11";"";"";"";"";""
"2";"2025-01-07 12:46:18";"Pull";"4500";"Reverse Fly (Machine)";"10";"9.0";"13";"";"";"";"";""
"2";"2025-01-07 12:46:18";"Pull";"4500";"Reverse Fly (Machine)";"11";"11.0";"15";"";"";"";"";""
"2";"2025-01-07 12:46:18";"Pull";"4500";"Bicep Curl (Barbell)";"12";"25.0";"8";"";"";"";"";""
"2";"2025-01-07 12:46:18";"Pull";"4500";"Bicep Curl (Barbell)";"13";"21.5";"8";"";"";"";"";""
"2";"2025-01-07 12:46:18";"Pull";"4500";"Bicep Curl (Barbell)";"14";"26.5";"8";"";"";"";"";""
"2";"2025-01-07 12:46:18";"Pull";"4500";"Bicep Curl (Dumbbell)";"15";"15.5";"10";"";"";"";"";""
"2";"2025-01-07 12:46:18";"Pull";"4500";"Bicep Curl (Dumbbell)";"16";"13.5";"11";"";"";"";"";""
"2";"2025-01-07 12:46:18";"Pull";"4500";"Bicep Curl (Dumbbell)";"17";"10.5";"12";"";"";"";"";""
"2";"2025-01-07 12:46:18";"Pull";"4500";"Bicep Curl (Dumbbell)";"18";"15.0";"11";"";"";"";"";""
"3";"2025-01-09 08:33:47";"Leg Day";"3540";"Squat (Barbell)";"1";"79.5";"10";"";"";"";"";""
"3";"2025-01-09 08:33:47";"Leg Day";"3540";"Squat (Barbell)";"2";"43.5";"7";"";"";"";"";""
"3";"2025-01-09 08:33:47";"Leg Day";"3540";"Squat (Barbell)";"3";"99.5";"9";"";"";"";"";""
"3";"2025-01-09 08:33:47";"Leg Day";"3540";"Squat (Barbell)";"4";"75.0";"8";"";"";"";"";""
"3";"2025-01-09 08:33:47";"Leg Day";"3540";"Seated Leg Press (Machine)";"5";"81.5";"12";"";"";"";"";""
"3";"2025-01-09 08:33:47";"Leg Day";"3540";"Seated Leg Press (Machine)";"6";"107.0";"12";"";"";"";"";""
"3";"2025-01-09 08:33:47";"Leg Day";"3540";"Seated Leg Press (Machine)";"7";"136.5";"9";"";"";"";"";""
"3";"2025-01-09 08:33:47";"Leg Day";"3540";"Seated Leg Press (Machine)";"8";"109.5";"11";"";"";"";"";""
"3";"2025-01-09 08:33:47";"Leg Day";"3540";"Leg Extension (Machine)";"9";"42.0";"14";"";"";"";"";""
"3";"2025-01-09 08:33:47";"Leg Day";"3540";"Leg Extension (Machine)";"10";"32.0";"14";"";"";"";"";""
"3";"2025-01-09 08:33:47";"Leg Day";"3540";"Leg Extension (Machine)";"11";"35.5";"10";"";"";"";"";""
"3";"2025-01-09 08:33:47";"Leg Day";"3540";"Hip Adductor (Machine)";"12";"66.0";"10";"";"";"";"";""
"3";"2025-01-09 08:33:47";"Leg Day";"3540";"Hip Adductor (Machine)";"13";"50.5";"10";"";"";"";"";""
"3";"2025-01-09 08:33:47";"Leg Day";"3540";"Hip Adductor (Machine)";"14";"61.5";"14";"";"";"";"";""
"3";"2025-01-09 08:33:47";"Leg Day";"3540";"Hip Adductor (Machine)";"15";"68.5";"15";"";"";"";"";""
"3";"2025-01-09 08:33:47";"Leg Day";"3540";"Standing Calf Raise (Machine)";"16";"127.0";"15";"";"";"";"";""
"3";"2025-01-09 08:33:47";"Leg Day";"3540";"Standing Calf Raise (Machine)";"17";"104.0";"18";"";"";"";"";""
"3";"2025-01-09 08:33:47";"Leg Day";"3540";"Standing Calf Raise (Machine)";"18";"109.5";"18";"";"";"";"";""
"4";"2025-01-10 12:47:36";"Push";"3300";"Running (Treadmill)";"1";"";"";"";"952.0";"396.0";"";""
